Strategy,Timeframe,TotalTrades,WinRate,ProfitFactor,Return,BuyTrades,BuyWinRate,SellTrades,SellWinRate,Score
institutional_follower,2h,149,24.83,0.51,-87.72,63,28.57,86,22.09,0.0
institutional_follower,4h,80,31.25,0.73,-35.3,34,35.29,46,28.26,0.0
institutional_follower,6h,50,10,0.22,-60.6,17,5.88,33,12.12,0.0
institutional_follower,8h,35,20,0.78,-14.1,11,0.0,24,29.17,0.0
institutional_follower,12h,20,15,0.45,-20.73,5,0.0,15,20.0,0.0
institutional_follower,1d,5,20,0.68,-2.93,0,0,5,20.0,0.0
reversal_sniper,1m,149,10.74,0.02,-100.0,135,11.11,14,7.14,0.0
reversal_sniper,3m,149,14.77,0.01,-100.0,145,15.17,4,0.0,0.0
reversal_sniper,5m,149,18.79,0.06,-99.99,139,17.27,10,40.0,0.0
reversal_sniper,15m,149,19.46,0.27,-99.85,141,17.73,8,50.0,0.0
reversal_sniper,30m,149,15.44,0.26,-98.95,139,14.39,10,30.0,0.0
reversal_sniper,1h,149,21.48,0.31,-92.85,135,20.0,14,35.71,0.0
reversal_sniper,2h,149,25.5,0.65,-81.79,129,24.81,20,30.0,0.0
reversal_sniper,4h,80,31.25,0.66,-43.53,70,31.43,10,30.0,0.0
reversal_sniper,6h,50,10,0.13,-67.06,38,7.89,12,16.67,0.0
reversal_sniper,8h,35,14.29,0.38,-36.48,27,14.81,8,12.5,0.0
reversal_sniper,12h,20,30,0.56,-14.17,19,31.58,1,0.0,0.0
reversal_sniper,1d,5,40,0.97,-0.23,4,50.0,1,0.0,0.0
momentum_beast,1m,144,18.75,0.14,-99.72,130,19.23,14,14.29,0.0
momentum_beast,3m,147,27.21,0.14,-96.21,135,28.15,12,16.67,0.0
momentum_beast,5m,147,27.21,0.2,-94.21,136,26.47,11,36.36,0.0
momentum_beast,15m,147,34.69,0.43,-82.15,131,35.88,16,25.0,0.0
momentum_beast,30m,148,39.86,0.57,-64.7,138,37.68,10,70.0,0.0
momentum_beast,1h,148,32.43,0.42,-76.48,127,30.71,21,42.86,0.0
momentum_beast,2h,146,36.99,0.65,-55.84,122,34.43,24,50.0,0.0
momentum_beast,4h,80,40,0.72,-26.15,75,40.0,5,40.0,0.0
momentum_beast,6h,50,42,0.78,-13.61,44,40.91,6,50.0,0.0
momentum_beast,8h,35,40,0.67,-14.27,30,40.0,5,40.0,0.0
momentum_beast,12h,20,15,0.17,-26.24,17,17.65,3,0.0,0.0
momentum_beast,1d,5,40,0.53,-2.96,5,40.0,0,0,0.0
scalper_pro,1m,149,1.34,0.0,-100.0,135,0.74,14,7.14,0.0
scalper_pro,3m,149,7.38,0.0,-100.0,145,7.59,4,0.0,0.0
scalper_pro,5m,149,18.12,0.03,-99.98,141,18.44,8,12.5,0.0
scalper_pro,15m,149,20.81,0.26,-99.82,141,19.15,8,50.0,0.0
scalper_pro,30m,149,16.11,0.26,-98.83,139,15.11,10,30.0,0.0
scalper_pro,1h,149,21.48,0.31,-92.85,135,20.0,14,35.71,0.0
scalper_pro,2h,149,26.17,0.66,-80.75,129,25.58,20,30.0,0.0
scalper_pro,4h,80,31.25,0.66,-43.53,70,31.43,10,30.0,0.0
scalper_pro,6h,50,10,0.13,-67.06,38,7.89,12,16.67,0.0
scalper_pro,8h,35,14.29,0.38,-36.48,27,14.81,8,12.5,0.0
scalper_pro,12h,20,30,0.56,-14.17,19,31.58,1,0.0,0.0
scalper_pro,1d,5,40,0.97,-0.23,4,50.0,1,0.0,0.0
